Copies,Attack,Defence,Faction,Name,Traits,Action,Tags,Designer,CardNumber
1,1,5,The Blood Leachers,Blood Bank,<strong>On Recruit:</strong> Gain 1 damage token to your supply.,,,Brendan Head,43-3
1,1,3,The Blood Leachers,Doctor Blood,<strong>On Recruit:</strong> Discard 2 damage tokens from your supply,,,Brendan Head,43-4
1,1,1,The Blood Leachers,Max the Mad Bloodman,<strong>On Recruit:</strong> Gains two +1/+1 counters.<br><br><strong>End of Turn:</strong> Gain 1 damage token into your supply.,,,Brendan Head,43-5
1,1,3,The Blood Leachers,O-Negative,<strong>End of Turn:</strong> Discard 1 damage token from your supply.,,,Brendan Head,43-6
1,1,4,The Blood Leachers,Red Pool,<strong>End of Turn:</strong> Place a +1/+1 token on this.,,,Brendan Head,43-7
2,2,2,The Blood Leachers,A Rush of Blood (to the Head),<strong>On Recruit:</strong> Attacks this turn.,,,Brendan Head,43-8
2,2,1,The Blood Leachers,A-Plus,{attacksLast:Attacks Last.}<br> Also does 1 damage to both other Lanes.,,,Brendan Head,43-9
2,2,3,The Blood Leachers,Cell Count,"Attacks based on the number of tokens on this. 1 - This Lane, 2 - This Lane + 1 adjacent Lanes, 3 - All Lanes",,,Brendan Head,43-10
1,2,2,The Blood Leachers,White Cell,Attacks any Lane.,,,Brendan Head,43-11
2,4,1,The Blood Leachers,Blood Dagger,{attacksLast:Attacks Last.}<br> <strong>On Recruit:</strong> Gain 2 damage tokens into your supply.,,,Brendan Head,43-12
4,0,2,Darren,Loyal Follower of the Cult of Personality,Worth 1 Mini Battles share.,,Starting,Brendan Head,44-1
1,0,0,Darren,Dublin Spire,<em>- Tall and Spiky -</em><br><strong>On Recruit:</strong> Gains four +1/+1 tokens.<br><br><strong>End of Turn:</strong> Remove a +1/+1 token.,,,Brendan Head,44-2
1,0,1,Darren,Ego,<em>- Infinite Scaling -</em><br><strong>End of Turn:</strong> Gains a +1/+1 counter (no limit).,,,Brendan Head,44-3
1,0,2,Darren,Ironclad,<em>- Strength Build -</em><br>All friendly units in this Lane have +1 Attack Power. <strong>End of Turn:</strong> Gain 1 HP.,,,Brendan Head,44-4
1,0,0,Darren,Korfball,<em>- Long Pass -</em><br><strong>On Recruit:</strong> Gains three +1/+1 counters.<br><strong>Start of Combat:</strong> May move a +1/+1 counter from this to a friendly unit in a Lane that is attacking this turn.,,,Brendan Head,44-5
1,0,0,Darren,Non-Simultaneous,"{action:Action}<br> This Lane attacks this turn.<br>This turn combat is not resolved simultaneously. Instead resolve combat for all your units, then for all enemy units. ",Action,,Brendan Head,44-6
1,0,2,Darren,Pre-Vegan,<em>- Consume Meat -</em><br><strong>On Recruit:</strong> Discard an enemy unit in this Lane.,,,Brendan Head,44-7
1,1,2,Darren,(Legally) Blind,<em>- Impair Enemy Vision -</em><br><strong>On Recruit:</strong> Enemy units in this Lane do not Attack this turn ,,,Brendan Head,44-8
1,1,3,Darren,Airport Guinness,<em>- Check In -</em><br><strong>On Recruit:</strong> Gain 2 HP and heal all damage from friendly units in this Lane.,,,Brendan Head,44-9
1,1,3,Darren,AWS,<em>- On Call -</em><br><strong>On Recruit:</strong> You may swap the Lanes of either any two friendly units or any two enemy units. ,,,Brendan Head,44-10
1,1,3,Darren,Camberschlang,{attacksLast:Attacks Last.}<br><br><em>- Young Scot -</em><br>Attacks any Lane (for free).,,,Brendan Head,44-11
1,1,1,Darren,Mint,<em>- Reduce Bitterness -</em><br>All enemy units in this Lane have their Attack Power reduced by 1.,,,Brendan Head,44-12
1,1,1,Darren,Piston Gamer,"<em>- Defender of Gloves -</em><br><strong>On Recruit:</strong> If you have at least 1 other card in this Lane, put a +1/+1 token on any two friendly units in this Lane. ",,,Brendan Head,44-13
1,1,2,Darren,Vegan,<em>- Banish Meat Eater -</em><br><strong>On Recruit:</strong> Put an enemy unit in this Lane back in your opponent's hand.,,,Brendan Head,44-14
1,2,1,Darren,Caithe,<em>- Plant Growth -</em><br><strong>On Recruit:</strong> Spawns a Loyal Follower of the Cult of Personality in this Lane. ,,,Brendan Head,44-15
1,2,2,Darren,Generic Woman,<em>- Finder of Paths -</em><br><strong>On Recruit:</strong> Search your deck for any card. You can now look at that card. Then shuffle your deck and put the card on top. Enjoy your new card next turn.,,,Brendan Head,44-16
1,2,1,Darren,Morrisons,<em>- Staff Discount -</em><br><strong>On Recruit:</strong> Incoming damage is reduced by 1 this turn in each Lane in each Combat Phase.,,,Brendan Head,44-17
1,2,2,Darren,Ryanair Flight,<em>- To Leeds -</em><br><strong>End of Turn:</strong> <strong>Must</strong> move this to a different Lane.,,,Brendan Head,44-18
1,3,0,Darren,BMS 2 A.M.,<em>- Fight Me -</em><br>{action:Action}<br> All units (friendly and enemy) in all Lanes attack this turn,Action,,Brendan Head,44-19
6,0,1,Oscar,Immovable Orb,<em>- Infinite Healing -</em><br><strong>End of Turn:</strong> Heals 1 damage on itself.<br><br><em>- Gain 1 HP -</em><br><strong>On Death:</strong> Gain 1 HP.,,Starting,Brendan Head,45-1
1,0,0,Oscar,"""TURNS""","{action:Action}<br> Immediately end your turn, triggering ""End of Turn"" abilities. Then take another turn immediately.<br>This card starts outside your deck and can be played on your turn as if it was in your hand. If you do, do not draw a card start of next turn. ",Action,,Brendan Head,45-2
1,0,0,Oscar,Chess,"<strong><em>- Bad Game -</em><br></strong><br><strong>On Recruit:</strong> This dies. Draw 1 card, then place a different, <strong>better</strong> card in this Lane. Literally <strong>any other card</strong> is better.<br><br><em>- Convolutedly Named Gambit -</em><br><strong>On Death:</strong> Opponent loses 2 HP.",,,Brendan Head,45-3
1,0,2,Oscar,Cosmic Orb,<em>- Ponder -</em><br><strong>End of Turn:</strong> Deal 1 Attack damage in this Lane.<br><br><em>- Evoke -</em><br><strong>On Death:</strong> Deal 2 Attack damage in this Lane.,,,Brendan Head,45-4
1,0,1,Oscar,Left Glove,"<em>- Right Glove -</em><br><strong>On Recruit:</strong> Search your deck for Right Glove and play it into a different Lane, then shuffle your deck.<br><br><em>- Left Glove -</em><br><strong>End of Turn:</strong> Place a +1/+1 counter on Right Glove.",,,Brendan Head,45-5
1,0,0,Oscar,Popcorn,<em>- Big Bowl of Kernels -</em><br><strong>On Recruit:</strong> Gains three +1/+1 counters.<br><br><em>- Specialised Butter Salt -</em><br><strong>On Recruit:</strong> Prevents an enemy unit that would attack this turn from attacking. ,,,Brendan Head,45-6
1,0,1,Oscar,Right Glove,"<em>- Left Glove -</em><br><strong>On Recruit:</strong> Search your deck for Left Glove and play it into a different Lane, then shuffle your deck.<br><br><em>- Right Glove -</em><br><strong>End of Turn:</strong> Place a +1/+1 counter on Left Glove.",,,Brendan Head,45-7
1,1,1,Oscar,Bees,<em>- lil guy :) -</em><br><strong>Start of Combat:</strong> May move any friendly unit from any Lane to any other Lane.,,,Brendan Head,45-8
1,1,2,Oscar,Generic Universal PathFinding System,<em>- Equip Goggles -</em><br><strong>On Recruit:</strong> Venture 1.<br><br><em>- Efficiency Puzzle -</em><br><strong>End of Turn:</strong> Venture 1.,,,Brendan Head,45-9
1,1,2,Oscar,Homestuck Reference,<em>- Sacred Knowledge -</em><br><strong>On Recruit:</strong> Inform your opponent that the card they just played is a Homestuck reference. Friendly units gain +1 Attack Power this turn as a result.<br><br><em>- Timeline Loop -</em><br><strong>On Death:</strong> This returns to your hand then place an Immovable Orb in this Lane.,,,Brendan Head,45-10
1,1,3,Oscar,Internet Wiki,"<em>- Research Tropes -</em><br><strong>On Recruit:</strong> Scry 1.<br><br><em>- Research Non-Tropes -</em><br><strong>Start of Turn:</strong> After you draw a card, Scry 1. ",,,Brendan Head,45-11
1,1,1,Oscar,Neil Cicierega,"<em>- Ultimate Showdown -</em><br><strong>On Recruit:</strong> This Lane Attacks this turn.<br><br><em>- Wndrwll Volcano -</em><br><strong>On Recruit:</strong> Roll a d6 - If it's a 6, Venture 6.",,,Brendan Head,45-12
1,2,1,Oscar,13p Cola,<em>- Oscar Juice -</em><br><strong>On Recruit:</strong> Set your HP to 13. Opponent gains HP equal to the amount of HP this heals you.<br><br><em>- Extra Fizzy -</em><br><strong>On Recruit:</strong> All units (friendly and enemy) deal double damage this turn.,,,Brendan Head,45-13
1,2,1,Oscar,Citric Acid,<em>- Lemon Demon Attack -</em><br><strong>On Recruit:</strong> Attacks this turn.<br><br><em>- Consume -</em><br><strong>On Death:</strong> Venture 1.,,,Brendan Head,45-14
1,2,2,Oscar,Critter Dungeon,<em>- Greater Good -</em><br><strong>On Recruit:</strong> Sacrifice a friendly unit in any Lane to Venture 3.,,,Brendan Head,45-15
1,2,1,Oscar,East Oxford,"<em>- Shark Attack -</em><br>Attacks this Lane and the Lane to the left from Oscar's perspective (or owner's, if Oscar is not present). ",,,Brendan Head,45-16
1,2,2,Oscar,Mound,"<em>- Mounds within Mounds -</em><br><strong>On Recruit:</strong> If it is currently 2AM in real life, start a nested subgame of Mini Battles.<br>The loser of the subgame loses half their HP, rounded up. The winner gets to search their deck for any card, play into any Lane, then shuffle their deck.",,,Brendan Head,45-17
1,2,2,Oscar,Schwarma House,<em>- Blessed Food -</em><br><strong>On Recruit:</strong> Gain 2 HP and heal all damage from all friendly units in any Lane.,,,Brendan Head,45-18
1,4,2,Oscar,Katz Cats (2019),<em>- Dundee United -</em><br><strong>On Recruit:</strong><br>Choose one - <br><ul><li>Sacrifice a friendly unit in any Lane and lose 2 HP.</li><li>Lose the Battle.</li></ul>,,,Brendan Head,45-19
4,0,2,Tom,Black Basic Tile,,,"Black, Starting",Brendan Head,46-1
4,0,2,Tom,Blue Basic Tile,,,"Blue, Starting",Brendan Head,46-2
4,0,2,Tom,Yellow Basic Tile,,,"Yellow, Starting",Brendan Head,46-3
1,0,0,Tom,Column Bonus,"<strong>On Recruit:</strong> Gains a +1/+1 counter.<br><br><strong>End of Turn:</strong> If this did not attack this turn, set the number of +1/+1 counters on this equal to number of units in this Lane.",,Black,Brendan Head,46-4
1,0,4,Tom,Endgame Scoring,"Gain 1 HP.<br>Gain an additional HP for every 3 Black Tiles, every 3 Blue Tiles, every 3 Yellow Tiles and every set of 1 Black, 1 Blue and 1 Yellow tile.",,Blue,Brendan Head,46-5
1,0,0,Tom,First Player Marker,"{action:Action}<br> This Lane attacks this turn. Put a +1/+1 counter on a unit in this Lane.<br><br>Lose up to 3 HP.<br>For each HP you lose, put a +1/+1 counter on a unit in this Lane.",Action,Yellow,Brendan Head,46-6
1,0,0,Tom,Tile Rush!,"{action:Action}<br> Take 3 Basic Tiles, one in each colour. Put 1 in each Lane, then put a +1/+1 counter on each of them.",Action,Blue,Brendan Head,46-7
1,0,0,Tom,Triple Combo,{action:Action}<br> Deal 3 targeted damage. This can be split how you choose among units in any Lanes.,Action,Black,Brendan Head,46-8
1,1,2,Tom,Azul Attack,Attacks into any Lane where you have Black tiles.,,Black,Brendan Head,46-9
1,1,3,Tom,Colour Switch,<strong>On Recruit:</strong> You may convert any unit in any Lane to a different colour. Indicate this by placing a Basic Wall Tile of the corresponding colour under it.,,Yellow,Brendan Head,46-10
1,1,2,Tom,Eat Sleep Azul Repeat,{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Attacks this turn.<br><strong>End of Turn:</strong> Heals 1 damage on itself.,,Black,Brendan Head,46-11
1,1,2,Tom,Floor Penalty Immunity,<strong>On Recruit:</strong> Blue cards die at -1 health not 0 for this turn.,,Blue,Brendan Head,46-12
1,1,2,Tom,Points are Points,<strong>On Recruit:</strong> Gain 1 HP per Blue card in play.,,Blue,Brendan Head,46-13
1,1,3,Tom,Rainbow Connector,This card also counts as Black and Blue.<br><strong>On Recruit:</strong> Look at one card in the Drafting Zone. You may move it to any other section of the zone.,,Yellow,Brendan Head,46-14
1,1,2,Tom,Rearrangement,<strong>On Recruit:</strong> Move any unit (can be this) to a different Lane,,Yellow,Brendan Head,46-15
1,1,3,Tom,Sliding Tile,<strong>End of Turn:</strong> Must move this to a different Lane,,Yellow,Brendan Head,46-16
1,1,1,Tom,Wonder Walls,"<strong>On Recruit:</strong> Put a Basic Tile of any Colour in this Lane.<br><br>When you place a card into this Lane, put a Basic Tile of any colour in a different Lane.",,Blue,Brendan Head,46-17
1,2,1,Tom,Paint Job,"<strong>On Recruit:</strong> Place a Yellow Basic Tile in any Lane.<br><br><strong>End of Turn:</strong> You may switch out any number of Basic Tiles for Basic Tiles of different colours, carrying over all counters.",,Yellow,Brendan Head,46-18
1,2,2,Tom,Rigged Draft,<strong>On Death:</strong> You may return 1 card from your discard pile (including this) to the centre area of the Drafting Zone.,,Blue,Brendan Head,46-19
1,2,1,Tom,Tile Snipe,<strong>On Recruit:</strong> Gains a +1/+1 counter.<br><br>Attacks any Lane but this one.,,Black,Brendan Head,46-20
1,3,3,Tom,Middle Man,"<strong>Start of Combat:</strong> If you drew your card this turn from the centre area, this attacks. If not, lose 1 HP. This overrules normal attacking rules.",,Black,Brendan Head,46-21
3,0,2,Hitmen,Bodyguard,,,Starting,Brendan Head,47-1
1,0,2,Hitmen,Accident,<strong>On Recruit:</strong> Discard an enemy unit in this Lane.<br><br><strong>5 Mercs:</strong> Discard an enemy unit in this Lane.,,,Brendan Head,47-2
2,0,0,Hitmen,Hired Assassin,<strong>On Recruit:</strong> Gains three +1/+1 counters.<br><br><strong>1 Merc:</strong> Remove a +1/+1 counte from this to put a damage counter on any unit.,,,Brendan Head,47-3
1,0,0,Hitmen,Training Simulation,<strong>On Recruit:</strong> Gains a +1/+1 counter.<br><br><strong>1 Merc:</strong> Gains a +1/+1 counter.,,,Brendan Head,47-4
2,1,3,Hitmen,Golden Bullets,<strong>On Recruit:</strong> Deal 1 targeted damage to any unit. Pay 1 Merc for each additional damage you want to do to that unit.,,,Brendan Head,47-5
1,1,3,Hitmen,Health Pack,<strong>On Recruit:</strong> Heal 2 damage from units or your HP in any combination.<br><br><strong>1 Merc:</strong> Heal 1 damage from any unit or your HP.,,,Brendan Head,47-6
1,1,4,Hitmen,Income,<strong>On Recruit:</strong> Gain 1 Merc.<br><br><strong>End of Turn:</strong> Gain 1 Merc.,,,Brendan Head,47-7
1,1,2,Hitmen,Recruiter,"<strong>3 Mercs:</strong> Draw 2 cards, play 1 in this Lane and discard the other.",,,Brendan Head,47-8
2,1,2,Hitmen,Sniper Rifle,{attacksFirst:Attacks First.}<br><br>Deals targeted damage.<br><br><strong>1 Merc:</strong> Attack any Lane this turn.,,,Brendan Head,47-9
1,2,0,Hitmen,Bank Robbery,{action:Action}<br> Attacks this turn. Gain 3 Mercs. ,Action,,Brendan Head,47-10
2,2,2,Hitmen,Shield,Deals targeted damage.<br><br>Must damage this before other units in this Lane.,,,Brendan Head,47-11
2,2,1,Hitmen,Slow Poison,{attacksLast:Attacks Last.}<br><br>Deals targeted damage.<br><br><strong>On Recruit:</strong> Gains a +1/+1 counter.,,,Brendan Head,47-12
1,3,2,Hitmen,Mercenary,<strong>On Recruit:</strong> Attacks this turn.<br><br>This doesn't attack normally.<br><br><strong>2 Mercs:</strong> Attacks this turn.,,,Brendan Head,47-13
1,4,7,Hitmen,Agent 47,"<strong>On Recruit:</strong> Must pay 5 Mercs, or this dies. Then this takes 4 damage. ",,,Brendan Head,47-14
6,0,2,Hive,HexBlock,"<strong>End of Turn:</strong> In any Empty Lanes, gain 1 HexBlock each.",,Starting,Brendan Head,48-1
1,0,0,Hive,Break the Hive,{action:Action}<br> Remove all units from this Lane (friendly and enemy),,,Brendan Head,48-2
1,0,0,Hive,Swarm of the Hive,{action:Action}<br> This Lane attacks this turn. Place a HexBlock with +1/+1 counter on it in every Lane.,,,Brendan Head,48-3
2,1,3,Hive,Beetle,"<strong>End of Turn:</strong> If this is on top of an enemy unit, remove that unit and move this to any Lane. Otherwise, may place this on top of an enemy unit in this Lane. That unit can no longer attack or move. ",,,Brendan Head,48-4
3,1,1,Hive,Grasshopper,"<strong>After Attacking:</strong> May move to a different Lane. If it does, gains a +1/+1 counter.",,,Brendan Head,48-5
1,1,1,Hive,Ladybug,"<strong>On Recruit:</strong> In both other Lanes, place a +1/+1 counter on one unit.<br><br><strong>End of Turn:</strong> In both other Lanes, place a +1/+1 counter on one unit.",,,Brendan Head,48-6
1,1,1,Hive,Mosquito,"<strong>On Recruit:</strong> May copy the ""On Recruit"" effect of any unit (friendly or enemy) in this Lane.<br><br><strong>End of Turn:</strong> May copy the ""End of Turn"" effect of any unit (friendly or enemy) in this Lane.",,,Brendan Head,48-7
1,1,10,Hive,Hive Queen,"Starts in your hand. Must be placed by turn 4. Your units don't attack until you've placed your Queen Bee. If this dies, lose the Battle. Any damage that would go into your HP goes on your Queen.<br><strong>End of Turn:</strong> Heal 1 damage on itself.",,,Brendan Head,48-8
3,2,1,Hive,Soldier Ant,"Attacks any Lane. After attacking, must move this into the Lane it attacked.",,,Brendan Head,48-9
2,3,2,Hive,Spider,"When distributing damage in combat, all of the damage from the Spider must be placed on exactly one unit first, ignoring all excess damage.",,,Brendan Head,48-10
1,1,2,Hive,Pillbug,<strong>On Recruit:</strong> May move another unit (friendly or enemy) to a different Lane. <strong>End of Turn:</strong> May move another unit (friendly or enemy) to a different Lane.,,,Brendan Head,48-11
3,0,2,Hot Potatoes,Raw Potato,"<strong>On Death:</strong> If killed by an explosion, resummon unit that exploded from your discard pile.",,"Potato, Starting",Owain Elliot,49-1
1,0,0,Hot Potatoes,Bomb or Potato?,<strong>On Recruit:</strong> Gains two +1/+1 counters.<br><br><strong>End of Turn:</strong> Remove a counter (damage or +1/+1).<br>br><strong>On Death:</strong> Remove every unit in this lane,,,Owain Elliot,49-2
1,0,0,Hot Potatoes,Farming,{action:Action}<br> Summon a Raw Potato into every Lane.,,,Owain Elliot,49-3
2,0,3,Hot Potatoes,Gloves,Explosions no longer deal damage to friendly units in this lane,,,Owain Elliot,49-4
2,0,1,Hot Potatoes,Hot Potato,<strong>End of Turn:</strong> Explode - Deal 1 damage to every unit (friendly and enemy) in this Lane.<br><br><strong>On Death:</strong> Explode - Deal 1 damage to every unit (friendly and enemy) in this Lane.,,Potato,Owain Elliot,49-5
2,0,1,Hot Potatoes,Lukewarm Potato,<strong>On Death:</strong> Explode - Deal 2 damage to 1 friendly unit in this Lane and 2 damage to 1 enemy unit in this Lane.,,Potato,Owain Elliot,49-6
1,0,2,Hot Potatoes,Mega Hot Potato,<strong>End of Turn:</strong> Explode - Deal 1 damage to every unit (friendly and enemy) in <strong>every</strong> Lane.<br><br><strong>On Death:</strong> Explode - Deal 1 damage to every unit (friendly and enemy) in <strong>every</strong> Lane.,,Potato,Owain Elliot,49-7
1,0,0,Hot Potatoes,Microwave,"{action:Action}<br> For this turn, explosions cause opponent to also lose 1 HP.",,,Owain Elliot,49-8
1,0,0,Hot Potatoes,Throw,{action:Action}<br> Move a Potato into one of the enemies lanes and summon 2 Raw Potatoes in lanes of your choice,,,Owain Elliot,49-9
1,1,3,Hot Potatoes,Boiling Potato,<strong>On Death:</strong> Explode - Deal 3 damage to every unit (friendly and enemy) in this Lane.,,Potato,Owain Elliot,49-10
1,1,2,Hot Potatoes,Chips,"When this would attack, you can instead deal 1 damage to any friendly unit.",,Potato,Owain Elliot,49-11
2,1,2,Hot Potatoes,Sweet Potato,<strong>On Death:</strong> Explode - All friendly units in this Lane gain a +1/+1 counter.,,Potato,Owain Elliot,49-12
1,2,2,Hot Potatoes,Baked Potato,<strong>On Death:</strong> Explode - Remove 1 damage counter from all friendly units in this Lane.,,Potato,Owain Elliot,49-13
1,2,1,Hot Potatoes,Fork,<strong>On Recruit:</strong> Discard a friendly unit that can explode. This gains +1/+1 counters equal to its base health.,,,Owain Elliot,49-14
1,4,1,Hot Potatoes,Crisps,<strong>On Death:</strong> Deal 1 damage to unit that killed this.,,Potato,Owain Elliot,49-15
3,0,2,Vitalators,Vitalator,,,Starting,Brendan Head,50-1
1,0,1,Vitalators,Blood Buff,<strong>On Recruit:</strong> Gains a +1/+1 counter for every 4 HP you have.,,,Brendan Head,50-2
1,0,1,Vitalators,Buff Brawler,"<strong>On Recruit:</strong> May place a +1/+1 counter on any friendly unit (can be this one)<br><strong>End of Turn:</strong> May place a +1/+1 counter on any friendly unit (can be this one). When you place a +1/+1 counter on a unit that already has at least one +1/+1 counter on it, lose 1 HP.",,,Brendan Head,50-3
1,0,0,Vitalators,Chooser,{action:Action}<br> Deal 1 targeted damage in this Lane. Deal either deal 2 more targeted damage or gain 3 HP.,Action,,Brendan Head,50-4
1,0,4,Vitalators,Sacrificial Stooge,<strong>End of Turn:</strong> May place any number of damage tokens on this to gain 1 HP for each damage token placed.,,,Brendan Head,50-5
1,1,3,Vitalators,Enemy Grabber,"<strong>End of Turn:</strong> May discard this to gain 2 HP. If you do may then discard an enemy unit from this Lane, but if you do lose HP equal to equal to the health of that unit.",,,Brendan Head,50-6
1,1,3,Vitalators,Inspirational Martyr,<strong>On Recruit:</strong> All units in this Lane (friendly and enemy) attack this turn.<br><strong>On Death:</strong> Gain 3 HP.,,,Brendan Head,50-7
1,1,2,Vitalators,Little Guy,"If you have less than 10 HP, this attacks all Lanes.",,,Brendan Head,50-8
1,1,3,Vitalators,Self-Stab,"<strong>On Recruit:</strong> Gain 2 HP. <strong>End of Turn:</strong> If this did not attack, it takes 1 damage and you gain 1 HP.",,,Brendan Head,50-9
1,1,4,Vitalators,Vitality Distrubutor,<strong>On Recruit:</strong> Take two +1/+1 counters. The next unit you play gains both +1/+1 counters.<br><strong>End of Turn:</strong> May move a damage or +1/+1 counter from any unit to a different unit.,,,Brendan Head,50-10
1,1,2,Vitalators,Wide-Area Wreckage,Attacks both other Lanes. May also sacrifice 1 HP to attack this Lane with +1 Attack Power.,,,Brendan Head,50-11
1,2,4,Vitalators,Damage Digestor,<strong>On Recruit:</strong> Lose 2 HP.<br><strong>End of Turn:</strong> Gain HP equal to the number of damage counter on this.,,,Brendan Head,50-12
1,2,0,Vitalators,Inspiring Survey,"{action:Action}<br> This Lane attacks this turn. Gain HP equal to half this Lane's Attack Power, rounded up.",Action,,Brendan Head,50-13
1,2,2,Vitalators,Pacificist Priest,"If this would attack, you may instead gain 2 HP.",,,Brendan Head,50-14
1,2,1,Vitalators,Paid Sniper,{attacksFirst:Attacks First.}<br> <strong>End of Turn:</strong> Lose 1 HP to attack again.,,,Brendan Head,50-15
1,2,2,Vitalators,Pick and Choose,"Attacks into the other Lane that is attacking this turn, not this Lane. Lose 1 HP to attack this Lane too.",,,Brendan Head,50-16
1,3,1,Vitalators,Time Shifter,Choose: Attacks First and lose 1 HP or {attacksLast:Attacks Last.}<br>,,,Brendan Head,50-17
2,0,2,Team Fortress,Sentry Turret,,,Starting,Brendan Head,51-1
1,0,3,Team Fortress,Blue Demoman,Choose when attacking: Attack this Lane for 3 or all Lanes for 1.,,Blue,Brendan Head,51-2
1,0,2,Team Fortress,Blue Pyro,"Whenever a damage counter is placed on this, opponent also takes 1 damage in this Lane.",,Blue,Brendan Head,51-3
1,1,1,Team Fortress,Blue Engineer,<strong>On Recruit:</strong> Gains two +1/+1 counters.<br><strong>End of Turn:</strong> May remove a +1/+1 counter from this to heal 1 damage from all units in this Lane.,,Blue,Brendan Head,51-4
1,1,1,Team Fortress,Blue Heavy,"<strong>On Recruit:</strong> Gains four +1/+1 counters.<br><strong>End of Turn:</strong> If this attacked, loses a +1/+1 counter. Otherwise, gains a +1/+1 counter.",,Blue,Brendan Head,51-5
1,1,1,Team Fortress,Blue Medic,<strong>On Recruit:</strong> Choose a Lane. All units in that Lane take no damage this turn.,,Blue,Brendan Head,51-6
1,1,2,Team Fortress,Blue Scout,<strong>On Recruit:</strong> Attacks this turn.<br><strong>End of Turn:</strong> Attacks again. ,,Blue,Brendan Head,51-7
1,3,1,Team Fortress,Blue Spy,<strong>On Recruit:</strong> Doesn't take damage this turn,,Blue,Brendan Head,51-8
1,1,2,Team Fortress,Blue Sniper,"<strong>On Recruit:</strong> Choose a Lane. Enemy units in that Lane take double damage this turn (whenever you would place a damage counter on an enemy, place two)",,Blue,Brendan Head,51-9
1,1,1,Team Fortress,Blue Soldier,<strong>On Recruit:</strong> Gains two +1/+1 counters. May attack into a different Lane by spending a +1/+1 counter. ,,Blue,Brendan Head,51-10
1,1,3,Team Fortress,Red Demoman,<strong>Start of Combat:</strong> May destroy this unit to deal 3 attack damage in this lane,,Red,Brendan Head,51-11
1,1,2,Team Fortress,Red Engineer,<strong>On Recruit:</strong> Place a Sentry Turret with two +1/+1 counters on it in any Lane.,,Red,Brendan Head,51-12
1,1,6,Team Fortress,Red Heavy,Attacks every turn.,,Red,Brendan Head,51-13
1,1,3,Team Fortress,Red Medic,<strong>End of Turn:</strong> Heal 1 damage from a unit in any lane.,,Red,Brendan Head,51-14
1,1,1,Team Fortress,Red Pyro,Also does 2 damage to a different Lane.,,Red,Brendan Head,51-15
1,1,1,Team Fortress,Red Scout,<strong>Start of Combat:</strong> Attacks before all other units.<br><strong>End of Turn:</strong> May move to a different Lane. ,,Red,Brendan Head,51-16
1,1,2,Team Fortress,Red Spy,<strong>On Recruit:</strong> Takes no damage this turn.<br><strong>End of Turn:</strong> May sacrifice this to kill an enemy unit in this Lane. ,,Red,Brendan Head,51-17
1,2,1,Team Fortress,Red Sniper,"<strong>On Recruit:</strong> Attacks this turn, dealing targeted damage. ",,Red,Brendan Head,51-18
1,2,2,Team Fortress,Red Soldier,<strong>Start of Combat:</strong> May move this to a different Lane ,,Red,Brendan Head,51-19
6,0,2,Solar System,Asteroid,,,Starting,Brendan Head,52-1
1,0,0,Solar System,Asteroid Belt,{action:Action}<br> Gain 2 Asteroids and place them in any Lanes in any combination.,Action,,Brendan Head,52-2
1,0,0,Solar System,Planet X,"<em>- Get Discovered -</em><br>When you draw this card to your hand: Immediately gain two +1/+1 counters, discard this and then draw a new card. <strong>End of Turn:</strong> Distribute the counters among your units.",,,Brendan Head,52-3
1,0,3,Solar System,Pluto,"<em>- Degrade to Dwarf Status -</em><br><strong>End of Turn:</strong> Draw a card, then replace this card with a different card.",,,Brendan Head,52-4
1,0,8,Solar System,Sagittarius B,"All damage in all Lanes is redirected to this unit.<br>After each phase of Combat, if this took damage then deal 1 Attack Damage in this Lane.",,,Brendan Head,52-5
1,0,0,Solar System,The Moon,"<em>- Impact Formation -</em><br><strong>On Recruit:</strong> Damage any number of friendly units. For each point of friendly damage, this gains a +1+1 counter.",,,Brendan Head,52-6
1,0,4,Solar System,The Sun,"<strong>On Recruit:</strong> Discard all friendly units in this Lane, adding their Attack Power as +1/+1 counters to this.<br><br>Whenever a card is placed in this Lane, discard it and add its Attack Power as +1/+1 counters to this.",,,Brendan Head,52-7
1,1,2,Solar System,Europa,"<em>- Sub-Surface Ocean -</em><br>If your HP is 5 or less, all friendly units in this Lane (including this one) gain 1 Attack Power.",,,Brendan Head,52-8
1,1,3,Solar System,Ganymede,<em>- Largest Moon<em>-  - <strong>On Recruit:</strong> Negates 1 point of incoming Attack damage in each Lane this turn.,,,Brendan Head,52-9
1,1,2,Solar System,Mercury,"<em>- Hot and Cold Sides -</em><br><strong>End of Turn:</strong> Flip a coin. On Heads place two +1/+1 counters on this, on Tails lose 1 HP.",,,Brendan Head,52-10
1,1,4,Solar System,Uranus,"<em>- Opposite Orbit -</em><br>This unit only attacks when it wouldn't attack normally (e.g. on Recruit, when a unit played to this Lane).<br><br><em>- Tilted Axis -</em><br>This unit attacks both other Lanes but not its own.",,,Brendan Head,52-11
1,1,3,Solar System,Venus,"<em>- Godess of Love -</em><br>For each damage token you put on this unit, gain 1 HP.",,,Brendan Head,52-12
1,2,4,Solar System,Andromeda,<em>- Gravitational Pull -</em><br><strong>End of Turn:</strong> All friendly units in other Lanes must be moved into this Lane and friendly units that were in this Lane must be moved to either other Lane (choose for each unit).,,,Brendan Head,52-13
